Reference,Part,Value/PartNumber,Qty,Notes
U1,MCU,STM32F411CEU6,1,UFQFPN48
U2/U3,Motor Driver,MP6551,2,1 per motor (left/right)
U4,IMU,LSM6DSRXTR,1,SPI/I2C 6-axis
U5/U6,Magnetic Encoder,AS5047P,2,1 per motor shaft (left/right)
M1/M2,Brushed DC Motor,NFP-D0812-1-3.7,2,left/right drive
-,Tire,14mm diameter,2,left/right
BT1,Battery Connector,2S LiPo,1,7.4V nominal
-,Wall Sensor (IR emitter),OSI5FU3A11C,4,2 front-diagonal + 2 side
-,Wall Sensor (IR receiver),LTR-209,4,2 front-diagonal + 2 side
U8/U9/U10/U11,IR LED Driver,NCR321PAS,4,"constant-current, digital PWM enable, 1 per emitter"
-,IR LED Driver Current-Set Resistor,TBD,4,"sets NCR321PAS output current per channel"
U7,3.3V Regulator,LXDC55FAAA-203,1,for MCU/sensors
M3,Suction Fan,TBD,1,downforce - part TBD
Q1,Fan Drive MOSFET,TBD,1,N-channel low-side PWM drive
